concept_id,concept_code,concept_name,vocabulary_id,cluster,category
435151,371779005,Physical child abuse,SNOMED,Physical Abuse,Adverse Childhood Experiences
436313,102458000,Shaken baby syndrome,SNOMED,Physical Abuse,Adverse Childhood Experiences
4037139,162596006,Suspected victim of child abuse,SNOMED,Physical Abuse,Adverse Childhood Experiences
37117080,12242871000119109,Suspected victim of child physical abuse,SNOMED,Physical Abuse,Adverse Childhood Experiences
44783765,697949003,Suspected victim of physical abuse,SNOMED,Physical Abuse,Adverse Childhood Experiences
437449,397940009,Victim of child abuse,SNOMED,Physical Abuse,Adverse Childhood Experiences
438043,225824003,Victim of physical abuse,SNOMED,Physical Abuse,Adverse Childhood Experiences
4186113,41358001,Child concubinage,SNOMED,Sexual Abuse,Adverse Childhood Experiences
437460,95922009,Child sex abuse,SNOMED,Sexual Abuse,Adverse Childhood Experiences
4027465,228143000,Contact sexual abuse of child,SNOMED,Sexual Abuse,Adverse Childhood Experiences
36715110,720595008,Domestic sexual abuse,SNOMED,Sexual Abuse,Adverse Childhood Experiences
4201148,51347003,Incest,SNOMED,Sexual Abuse,Adverse Childhood Experiences
4029577,23776007,Incestuous child concubinage,SNOMED,Sexual Abuse,Adverse Childhood Experiences
4103307,25385007,Incestuous concubinage with girls,SNOMED,Sexual Abuse,Adverse Childhood Experiences
4263091,361217003,Intrafamilial sexual abuse,SNOMED,Sexual Abuse,Adverse Childhood Experiences
4321678,70167006,Non-incestuous child concubinage,SNOMED,Sexual Abuse,Adverse Childhood Experiences
4254381,74791000,"Pedophilia, limited to incest",SNOMED,Sexual Abuse,Adverse Childhood Experiences
443080,213017001,Sexual abuse,SNOMED,Sexual Abuse,Adverse Childhood Experiences
45757172,10761021000119102,Sexual abuse complicating childbirth,SNOMED,Sexual Abuse,Adverse Childhood Experiences
45757173,10761061000119107,Sexual abuse complicating pregnancy,SNOMED,Sexual Abuse,Adverse Childhood Experiences
4053716,242046006,Sexual abuse of disabled person,SNOMED,Sexual Abuse,Adverse Childhood Experiences
45773199,700254002,Suspected victim of child sexual abuse,SNOMED,Sexual Abuse,Adverse Childhood Experiences
4168496,417876002,Victim of abusive sexual relationship,SNOMED,Sexual Abuse,Adverse Childhood Experiences
45763732,700229002,Victim of child sexual abuse,SNOMED,Sexual Abuse,Adverse Childhood Experiences
37017541,713834002,Victim of child sexual exploitation,SNOMED,Sexual Abuse,Adverse Childhood Experiences
42536268,734998001,Victim of human trafficking,SNOMED,Sexual Abuse,Adverse Childhood Experiences
4171711,42085001,Victim of rape,SNOMED,Sexual Abuse,Adverse Childhood Experiences
438943,225826001,Victim of sexual abuse,SNOMED,Sexual Abuse,Adverse Childhood Experiences
44807665,788771000000109,Victim of sexual activity without consent,SNOMED,Sexual Abuse,Adverse Childhood Experiences
4210749,56890008,Victim of sexual aggression,SNOMED,Sexual Abuse,Adverse Childhood Experiences
37017530,713820002,Victim of sexual assault by intimate partner,SNOMED,Sexual Abuse,Adverse Childhood Experiences
37017531,713821003,Victim of sexual assault by member of household,SNOMED,Sexual Abuse,Adverse Childhood Experiences
4026166,225830003,Victim of sexual harassment,SNOMED,Sexual Abuse,Adverse Childhood Experiences
4061289,17044007,Victim of statutory rape,SNOMED,Sexual Abuse,Adverse Childhood Experiences
4239656,58963008,Acrophobia,SNOMED,Anxiety Disorder,Anxiety Disorders
4099956,192037000,Acute panic state due to acute stress reaction,SNOMED,Anxiety Disorder,Anxiety Disorders
4321835,70691001,Agoraphobia,SNOMED,Anxiety Disorder,Anxiety Disorders
439786,191722009,Agoraphobia with panic attacks,SNOMED,Anxiety Disorder,Anxiety Disorders
4189538,61569007,Agoraphobia without history of panic disorder,SNOMED,Anxiety Disorder,Anxiety Disorders
4029005,1380006,Agoraphobia without history of panic disorder with limited symptom attacks,SNOMED,Anxiety Disorder,Anxiety Disorders
4219627,82415003,Agoraphobia without history of panic disorder without limited symptom attacks,SNOMED,Anxiety Disorder,Anxiety Disorders
4146660,34938008,Alcohol-induced anxiety disorder,SNOMED,Anxiety Disorder,Anxiety Disorders
4219044,82339009,Amphetamine-induced anxiety disorder,SNOMED,Anxiety Disorder,Anxiety Disorders
4011623,102929005,Androphobia,SNOMED,Anxiety Disorder,Anxiety Disorders
442077,197480006,Anxiety disorder,SNOMED,Anxiety Disorder,Anxiety Disorders
37110465,724722007,Anxiety disorder caused by dissociative drug,SNOMED,Anxiety Disorder,Anxiety Disorders
37109206,22621000119103,Anxiety disorder caused by drug,SNOMED,Anxiety Disorder,Anxiety Disorders
37110466,724723002,Anxiety disorder caused by ketamine,SNOMED,Anxiety Disorder,Anxiety Disorders
37309777,12398201000119102,Anxiety disorder caused by methamphetamine,SNOMED,Anxiety Disorder,Anxiety Disorders
37110453,724708007,Anxiety disorder caused by methylenedioxymethamphetamine,SNOMED,Anxiety Disorder,Anxiety Disorders
37119146,724654009,Anxiety disorder caused by opioid,SNOMED,Anxiety Disorder,Anxiety Disorders
42538592,762331007,Anxiety disorder caused by stimulant,SNOMED,Anxiety Disorder,Anxiety Disorders
42537777,737341006,Anxiety disorder caused by synthetic cannabinoid,SNOMED,Anxiety Disorder,Anxiety Disorders
42538738,762515000,Anxiety disorder caused by synthetic cathinone,SNOMED,Anxiety Disorder,Anxiety Disorders
4199892,52910006,Anxiety disorder due to a general medical condition,SNOMED,Anxiety Disorder,Anxiety Disorders
4242095,37868008,Anxiety disorder of adolescence,SNOMED,Anxiety Disorder,Anxiety Disorders
4203449,53467004,Anxiety disorder of childhood,SNOMED,Anxiety Disorder,Anxiety Disorders
433178,109006,Anxiety disorder of childhood OR adolescence,SNOMED,Anxiety Disorder,Anxiety Disorders
4288011,69479009,Anxiety hyperventilation,SNOMED,Anxiety Disorder,Anxiety Disorders
42538968,94641000119109,Anxiety in pregnancy,SNOMED,Anxiety Disorder,Anxiety Disorders
4211958,41673007,Ataque de nervios,SNOMED,Anxiety Disorder,Anxiety Disorders
4236021,90790003,Avoidant disorder of adolescence,SNOMED,Anxiety Disorder,Anxiety Disorders
4272468,64165008,Avoidant disorder of childhood,SNOMED,Anxiety Disorder,Anxiety Disorders
4242704,37872007,Avoidant disorder of childhood OR adolescence,SNOMED,Anxiety Disorder,Anxiety Disorders
46284309,943781000000104,"BESD - behavioural, emotional and social difficulties",SNOMED,Anxiety Disorder,Anxiety Disorders
4298795,7718000,Bilis,SNOMED,Anxiety Disorder,Anxiety Disorders
4323299,70655008,Caffeine-induced anxiety disorder,SNOMED,Anxiety Disorder,Anxiety Disorders
4221077,39951001,Cannabis-induced anxiety disorder,SNOMED,Anxiety Disorder,Anxiety Disorders
433181,268668003,Childhood and adolescent disturbance with introversion,SNOMED,Anxiety Disorder,Anxiety Disorders
4150796,268666004,Childhood and adolescent disturbance with sensitivity,SNOMED,Anxiety Disorder,Anxiety Disorders
4150797,268667008,Childhood and adolescent disturbance with shyness,SNOMED,Anxiety Disorder,Anxiety Disorders
4102978,192110004,Childhood and adolescent fearfulness disturbance,SNOMED,Anxiety Disorder,Anxiety Disorders
4100101,192616009,Childhood or adolescent disorder of social functioning,SNOMED,Anxiety Disorder,Anxiety Disorders
4100100,192611004,Childhood phobic anxiety disorder,SNOMED,Anxiety Disorder,Anxiety Disorders
4058397,19887002,Claustrophobia,SNOMED,Anxiety Disorder,Anxiety Disorders
4198826,51493001,Cocaine-induced anxiety disorder,SNOMED,Anxiety Disorder,Anxiety Disorders
4102977,192108001,Disturbance of anxiety and fearfulness in childhood and adolescence,SNOMED,Anxiety Disorder,Anxiety Disorders
4009184,111487009,Dream anxiety disorder,SNOMED,Anxiety Disorder,Anxiety Disorders
4217365,71959007,Elective mutism,SNOMED,Anxiety Disorder,Anxiety Disorders
434613,21897009,Generalized anxiety disorder,SNOMED,Anxiety Disorder,Anxiety Disorders
4268775,62351001,Generalized social phobia,SNOMED,Anxiety Disorder,Anxiety Disorders
4012108,102930000,Gynephobia,SNOMED,Anxiety Disorder,Anxiety Disorders
4035299,15277004,Hallucinogen-induced anxiety disorder,SNOMED,Anxiety Disorder,Anxiety Disorders
4049341,20876004,Inhalant-induced anxiety disorder,SNOMED,Anxiety Disorder,Anxiety Disorders
436668,5793009,Mixed behavior and emotional disorder,SNOMED,Anxiety Disorder,Anxiety Disorders
4147126,34741005,Nervios,SNOMED,Anxiety Disorder,Anxiety Disorders
444243,111475002,Neurosis,SNOMED,Anxiety Disorder,Anxiety Disorders
4146867,268957000,"Neurotic condition, insight present",SNOMED,Anxiety Disorder,Anxiety Disorders
381537,17496003,Organic anxiety disorder,SNOMED,Anxiety Disorder,Anxiety Disorders
4028677,13438001,Overanxious disorder of childhood,SNOMED,Anxiety Disorder,Anxiety Disorders
436074,371631005,Panic disorder,SNOMED,Anxiety Disorder,Anxiety Disorders
4147466,35607004,Panic disorder with agoraphobia,SNOMED,Anxiety Disorder,Anxiety Disorders
4233250,89948007,Panic disorder with agoraphobia AND mild panic attacks,SNOMED,Anxiety Disorder,Anxiety Disorders
4217601,8185002,Panic disorder with agoraphobia AND moderate panic attacks,SNOMED,Anxiety Disorder,Anxiety Disorders
4245974,59923000,Panic disorder with agoraphobia AND panic attacks in full remission,SNOMED,Anxiety Disorder,Anxiety Disorders
4273699,63909006,Panic disorder with agoraphobia AND panic attacks in partial remission,SNOMED,Anxiety Disorder,Anxiety Disorders
4204708,5509004,Panic disorder with agoraphobia AND severe panic attacks,SNOMED,Anxiety Disorder,Anxiety Disorders
4297987,76868007,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND mild panic attacks",SNOMED,Anxiety Disorder,Anxiety Disorders
4338662,87798009,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND moderate panic attacks",SNOMED,Anxiety Disorder,Anxiety Disorders
4002897,11941006,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND panic attacks in full remission",SNOMED,Anxiety Disorder,Anxiety Disorders
4008568,111491004,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND panic attacks in partial remission",SNOMED,Anxiety Disorder,Anxiety Disorders
4143602,34116005,"Panic disorder with agoraphobia, agoraphobic avoidance in full remission AND severe panic attacks",SNOMED,Anxiety Disorder,Anxiety Disorders
4136518,31781004,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND mild panic attacks",SNOMED,Anxiety Disorder,Anxiety Disorders
4137120,32388005,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND moderate panic attacks",SNOMED,Anxiety Disorder,Anxiety Disorders
4329036,22230001,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND panic attacks in full remission",SNOMED,Anxiety Disorder,Anxiety Disorders
4135202,3158007,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND panic attacks in partial remission",SNOMED,Anxiety Disorder,Anxiety Disorders
4006459,111490003,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND severe panic attacks",SNOMED,Anxiety Disorder,Anxiety Disorders
4270890,63701002,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND mild panic attacks",SNOMED,Anxiety Disorder,Anxiety Disorders
4175779,49564006,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND moderate panic attacks",SNOMED,Anxiety Disorder,Anxiety Disorders
4085666,24781009,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND panic attacks in full remission",SNOMED,Anxiety Disorder,Anxiety Disorders
4177015,50983008,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND panic attacks in partial remission",SNOMED,Anxiety Disorder,Anxiety Disorders
4054913,19766004,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND severe panic attacks",SNOMED,Anxiety Disorder,Anxiety Disorders
4171336,4932002,"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND mild panic attacks",SNOMED,Anxiety Disorder,Anxiety Disorders
4220989,82738004,"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND moderate panic attacks",SNOMED,Anxiety Disorder,Anxiety Disorders
4272328,64060000,"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND panic attacks in full remission",SNOMED,Anxiety Disorder,Anxiety Disorders
4298550,76812003,"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND panic attacks in partial remission",SNOMED,Anxiety Disorder,Anxiety Disorders
4307664,83631006,"Panic disorder with agoraphobia, moderate agoraphobic avoidance AND severe panic attacks",SNOMED,Anxiety Disorder,Anxiety Disorders
4109930,1816003,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND mild panic attacks",SNOMED,Anxiety Disorder,Anxiety Disorders
4146608,30059008,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND moderate panic attacks",SNOMED,Anxiety Disorder,Anxiety Disorders
4243153,38328002,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND panic attacks in full remission",SNOMED,Anxiety Disorder,Anxiety Disorders
4252417,74010007,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND panic attacks in partial remission",SNOMED,Anxiety Disorder,Anxiety Disorders
4246992,61212007,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND severe panic attacks",SNOMED,Anxiety Disorder,Anxiety Disorders
4211231,56576003,Panic disorder without agoraphobia,SNOMED,Anxiety Disorder,Anxiety Disorders
4218624,72861004,Panic disorder without agoraphobia with mild panic attacks,SNOMED,Anxiety Disorder,Anxiety Disorders
4277739,65064003,Panic disorder without agoraphobia with moderate panic attacks,SNOMED,Anxiety Disorder,Anxiety Disorders
4221253,82494000,Panic disorder without agoraphobia with panic attacks in full remission,SNOMED,Anxiety Disorder,Anxiety Disorders
4205119,53956006,Panic disorder without agoraphobia with panic attacks in partial remission,SNOMED,Anxiety Disorder,Anxiety Disorders
4182119,43150009,Panic disorder without agoraphobia with severe panic attacks,SNOMED,Anxiety Disorder,Anxiety Disorders
44790897,248231000000103,Paruresis,SNOMED,Anxiety Disorder,Anxiety Disorders
4206779,55967005,Phencyclidine-induced anxiety disorder,SNOMED,Anxiety Disorder,Anxiety Disorders
440985,386808001,Phobia,SNOMED,Anxiety Disorder,Anxiety Disorders
4304010,386810004,Phobic disorder,SNOMED,Anxiety Disorder,Anxiety Disorders
4299970,403593004,Phobic fear of skin cancer,SNOMED,Anxiety Disorder,Anxiety Disorders
4150950,268958005,Poor insight into neurotic condition,SNOMED,Anxiety Disorder,Anxiety Disorders
4253057,73972002,Postpartum neurosis,SNOMED,Anxiety Disorder,Anxiety Disorders
4178114,50026000,Psychoactive substance-induced organic anxiety disorder,SNOMED,Anxiety Disorder,Anxiety Disorders
4168212,274647009,Restlessness and agitation,SNOMED,Anxiety Disorder,Anxiety Disorders
4056690,1686006,"Sedative, hypnotic AND/OR anxiolytic-induced anxiety disorder",SNOMED,Anxiety Disorder,Anxiety Disorders
4193868,312098001,"Sedative, hypnotic AND/OR anxiolytic-related disorder",SNOMED,Anxiety Disorder,Anxiety Disorders
434628,126943008,Separation anxiety,SNOMED,Anxiety Disorder,Anxiety Disorders
4039212,11806006,Separation anxiety disorder of childhood,SNOMED,Anxiety Disorder,Anxiety Disorders
4225906,85061001,"Separation anxiety disorder of childhood, early onset",SNOMED,Anxiety Disorder,Anxiety Disorders
437537,83253003,Shyness disorder of childhood,SNOMED,Anxiety Disorder,Anxiety Disorders
4182847,54587008,Simple phobia,SNOMED,Anxiety Disorder,Anxiety Disorders
440690,25501002,Social phobia,SNOMED,Anxiety Disorder,Anxiety Disorders
4103275,191724005,"Social phobia, fear of eating in public",SNOMED,Anxiety Disorder,Anxiety Disorders
4103276,191725006,"Social phobia, fear of public speaking",SNOMED,Anxiety Disorder,Anxiety Disorders
4103277,191726007,"Social phobia, fear of public washing",SNOMED,Anxiety Disorder,Anxiety Disorders
44792465,351861000000106,Stranger anxiety,SNOMED,Anxiety Disorder,Anxiety Disorders
4033046,238966008,Syphilophobia,SNOMED,Anxiety Disorder,Anxiety Disorders
4254670,74803002,Taijin kyofusho,SNOMED,Anxiety Disorder,Anxiety Disorders
4033936,238961003,Trichophobia,SNOMED,Anxiety Disorder,Anxiety Disorders
4033937,238965007,Venereophobia,SNOMED,Anxiety Disorder,Anxiety Disorders
4184002,54307006,Zoophobia,SNOMED,Anxiety Disorder,Anxiety Disorders
4306640,83482000,Body dysmorphic disorder,SNOMED,OCD,Anxiety Disorders
4294887,37732008,Cluttering,SNOMED,OCD,Anxiety Disorders
42539152,762461003,Complex dissociative intrusion disorder,SNOMED,OCD,Anxiety Disorders
4084868,247968005,Compulsive hoarding,SNOMED,OCD,Anxiety Disorders
4103278,191737008,Compulsive neurosis,SNOMED,OCD,Anxiety Disorders
37110565,724845009,Compulsive scratching behavior,SNOMED,OCD,Anxiety Disorders
37119161,724846005,Compulsive self-biting behavior,SNOMED,OCD,Anxiety Disorders
4333001,231524005,Interictal behavior disorder,SNOMED,OCD,Anxiety Disorders
35622665,764783004,Mild bodily distress disorder,SNOMED,OCD,Anxiety Disorders
35622666,764784005,Moderate bodily distress disorder,SNOMED,OCD,Anxiety Disorders
4098320,191738003,Obsessional neurosis,SNOMED,OCD,Anxiety Disorders
4195865,67698009,Obsessional thoughts,SNOMED,OCD,Anxiety Disorders
4155075,271953006,Obsessional thoughts of causing harm to self,SNOMED,OCD,Anxiety Disorders
4084720,247877002,Obsessional thoughts of poisoning,SNOMED,OCD,Anxiety Disorders
37110440,724693000,Obsessive compulsive disorder caused by cocaine,SNOMED,OCD,Anxiety Disorders
37110473,724730008,Obsessive compulsive disorder caused by psychoactive substance,SNOMED,OCD,Anxiety Disorders
42538593,762332000,Obsessive compulsive disorder caused by stimulant,SNOMED,OCD,Anxiety Disorders
42538739,762516004,Obsessive compulsive disorder caused by synthetic cathinone,SNOMED,OCD,Anxiety Disorders
440374,191736004,Obsessive-compulsive disorder,SNOMED,OCD,Anxiety Disorders
4062972,17155009,Trichotillomania,SNOMED,OCD,Anxiety Disorders
4216701,71802006,Astasia-abasia,SNOMED,Somatoform Disorder,Anxiety Disorders
37109944,723916001,Bodily distress disorder,SNOMED,Somatoform Disorder,Anxiety Disorders
4216772,397826007,Briquet's syndrome,SNOMED,Somatoform Disorder,Anxiety Disorders
4033049,238976006,Bromisodrophobia,SNOMED,Somatoform Disorder,Anxiety Disorders
4196177,79459002,Cheshire cat syndrome,SNOMED,Somatoform Disorder,Anxiety Disorders
40480423,441711008,Chronic psychogenic pain,SNOMED,Somatoform Disorder,Anxiety Disorders
4142811,33693007,Compensation neurosis,SNOMED,Somatoform Disorder,Anxiety Disorders
4009651,111492006,"Conversion disorder, single episode",SNOMED,Somatoform Disorder,Anxiety Disorders
4091687,280901000,Couvade,SNOMED,Somatoform Disorder,Anxiety Disorders
4332999,231516000,Cutaneous hypochondriasis,SNOMED,Somatoform Disorder,Anxiety Disorders
4299969,403586003,Cutaneous Munchausen syndrome,SNOMED,Somatoform Disorder,Anxiety Disorders
4030432,129604005,Delusion of heart disease syndrome,SNOMED,Somatoform Disorder,Anxiety Disorders
437244,70764005,Depersonalization disorder,SNOMED,Somatoform Disorder,Anxiety Disorders
133285,27720003,Dermatitis factitia,SNOMED,Somatoform Disorder,Anxiety Disorders
4033935,238960002,Dermatological non-disease,SNOMED,Somatoform Disorder,Anxiety Disorders
4333002,231531009,Dermatological pathomimicry,SNOMED,Somatoform Disorder,Anxiety Disorders
4338034,231509001,Dissociative astasia-abasia,SNOMED,Somatoform Disorder,Anxiety Disorders
4098316,191714002,Dissociative convulsions,SNOMED,Somatoform Disorder,Anxiety Disorders
434889,44376007,Dissociative disorder,SNOMED,Somatoform Disorder,Anxiety Disorders
4150799,268715000,Dissociative motor disorder,SNOMED,Somatoform Disorder,Anxiety Disorders
42536608,735543009,Dissociative neurological disorder with symptom of alteration of sensation,SNOMED,Somatoform Disorder,Anxiety Disorders
42536609,735544003,Dissociative neurological disorder with symptom of movement disorder,SNOMED,Somatoform Disorder,Anxiety Disorders
42536607,735542004,Dissociative neurological disorder with symptom of weakness,SNOMED,Somatoform Disorder,Anxiety Disorders
42539544,735541006,Dissociative neurological symptom disorder,SNOMED,Somatoform Disorder,Anxiety Disorders
42537140,736315009,Dissociative neurological symptom disorder co-occurrent with alteration of consciousness,SNOMED,Somatoform Disorder,Anxiety Disorders
42536611,735547005,Dissociative neurological symptom disorder co-occurrent with auditory symptom,SNOMED,Somatoform Disorder,Anxiety Disorders
37311991,788907005,Dissociative neurological symptom disorder co-occurrent with chorea,SNOMED,Somatoform Disorder,Anxiety Disorders
42537139,736314008,Dissociative neurological symptom disorder co-occurrent with cognitive symptoms,SNOMED,Somatoform Disorder,Anxiety Disorders
42536612,735548000,Dissociative neurological symptom disorder co-occurrent with dizziness,SNOMED,Somatoform Disorder,Anxiety Disorders
37311990,788908000,Dissociative neurological symptom disorder co-occurrent with dystonia,SNOMED,Somatoform Disorder,Anxiety Disorders
37311989,788909008,Dissociative neurological symptom disorder co-occurrent with facial spasm,SNOMED,Somatoform Disorder,Anxiety Disorders
37311988,788910003,Dissociative neurological symptom disorder co-occurrent with myoclonus,SNOMED,Somatoform Disorder,Anxiety Disorders
